"Name","Title","University_System","Year","Regular pay","Overtime pay","Other pay","Total pay","Benefits","Total pay & benefits"
"MICHAEL DRAKE","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2023",976325,0,0,976325,62294,1038619
"MICHAEL DRAKE","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2022",933892,0,0,933892,58563,992455
"MICHAEL DRAKE","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2021",849208,0,583,849791,68090,917881
"JANET ANN NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2014",570000,0,14611,584611,88456,673067
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2019",570000,0,8916,578916,76693,655609
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2018",570000,0,8916,578916,75973,654889
"JANET ANN NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2015",570000,0,14503,584503,69964,654467
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2016",570000,0,8916,578916,72565,651481
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2017",570000,0,8916,578916,71254,650170
"MARK GEORGE YUDOF","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2012",591084,0,9515,600599,0,600599
"MARK GEORGE YUDOF","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2013",490220,0,20712,510932,28177,539109
"JANET NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2020",375250,0,5944,381194,0,381194
"MICHAEL DRAKE","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2020",235214,0,19758,254972,25695,280667
"JANET ANN NAPOLITANO","PRESIDENT OF THE UNIV","UNIVERSITY OF CALIFORNIA","2013",97261,0,145223,242484,13717,256201
